1,28,4,1,1,1st,1,,,,2,,,,,3,,,,7,,,,,2013-02-24,11:00:00,Misc,http://xxx/,コメント,1,2013-06-16 08:56:15,2013-06-16 09:30:31
2,28,4,1,1,2nd,7,,,,5,,,,,1,,,,2,,,,,2013-03-03,20:30:00,Misc,http://xxx/,コメント,2,2013-06-16 08:56:15,2013-06-16 08:56:15
3,28,4,1,1,3rd,1,,,,2,,,,,4,,,,6,,,,,2013-03-17,15:30:00,Misc,http://xxx/,コメント,3,2013-06-16 08:56:15,2013-06-16 08:56:15
4,28,4,1,1,4th,1,,,,10,,,,,1,,,,5,,,,,2013-03-31,10:30:00,Misc,http://xxx/,コメント,4,2013-06-16 08:56:15,2013-08-04 09:10:59
5,28,4,1,1,5th,14,,,,0,,,,,1,,,,10,,,,,2013-04-14,15:30:00,Misc,http://xxx/,コメント,5,2013-06-16 08:56:15,2013-06-16 08:56:15
6,28,4,1,1,6th,8,,,,5,,,,,1,,,,11,,,,,2013-04-29,11:30:00,Misc,http://xxx/,コメント,6,2013-06-16 08:56:15,2013-06-16 08:56:15
7,28,4,1,1,7th,1,,,,9,,,,,9,,,,6,,,,,2013-05-19,14:30:00,Misc,http://xxx/,コメント,7,2013-06-16 08:56:15,2013-06-16 08:56:15
8,28,4,1,1,8th,6,,,,10,,,,,1,,,,9,,,,,2013-06-02,09:30:00,Misc,http://xxx/,コメント,8,2013-06-16 08:56:15,2013-06-16 08:56:15
9,28,4,1,1,9th,1,,,,7,,,,,11,,,,4,,,,,2013-06-09,15:30:00,Misc,http://xxx/,コメント,9,2013-06-16 08:56:15,2013-06-16 08:56:15
81,28,4,1,1,10th,12,,,,1,,,,,1,,,,15,,,,,2013-07-07,10:30:00,MiSC,,,10,2013-07-11 12:14:46,2013-07-11 12:15:09
91,29,4,1,1,1st,13,,,,1,,,,,1,,,,11,,,,,2013-08-04,15:30:00,MiSC,,,1,2013-08-01 13:49:17,2013-08-12 00:30:49
101,29,4,1,1,2nd,7,,,,4,,,,,1,,,,10,,,,,2013-09-01,15:00:00,MiSC,,,2,2013-09-01 15:30:41,2013-09-02 12:31:43
111,29,4,1,1,3rd,14,,,,2,,,,,1,,,,6,,,,,2013-09-22,14:30:00,MiSC,,,3,2013-11-17 03:52:34,2013-11-17 03:52:34
221,29,4,1,1,4th,1,,,,5,,,,,5,,,,7,,,,,2013-10-13,14:30:00,MiSC,,,4,2013-10-13 06:54:22,2013-10-13 06:56:55
231,29,4,1,1,5th,1,,,,9,,,,,4,,,,3,,,,,2013-11-04,13:30:00,MiSC,,,5,2013-11-04 05:54:21,2013-11-04 05:54:21
241,29,4,1,1,6th,1,,,,8,,,,,17,,,,2,,,,,2013-11-10,09:30:00,MiSC,,,6,2013-11-10 01:48:56,2013-11-10 01:48:56
291,29,4,1,1,7th,1,,,,7,,,,,11,,,,2,,,,,2013-11-17,11:30:00,MiSC,,,7,2013-11-17 03:49:02,2013-11-17 03:49:02
302,29,4,1,1,8th,1,,,,10,,,,,16,,,,1,,,,,2013-12-08,13:30:00,MiSC,,オレは弱いものには強い by落合,8,2013-12-08 20:04:44,2013-12-23 05:38:19
311,29,4,1,1,9th,3,,,,3,,,,,1,,,,1,,,,,2013-12-22,11:00:00,MiSC,,,9,2013-12-23 05:40:54,2013-12-23 05:40:54
321,29,4,1,1,10th,1,,,,6,,,,,15,,,,5,,,,,2014-01-05,09:30:00,MiSC,,,10,2014-01-05 05:56:40,2014-01-05 05:58:04
340,29,4,1,1,PO 1st,1,,,,5,,,,,17,,,,4,,,,,2014-01-19,10:30:00,MiSC,,,11,2014-01-24 14:35:53,2014-01-24 14:35:53
341,29,4,1,1,PO Semi Final,1,,,,6,,,,,5,,,,3,,,,,2014-01-19,16:30:00,MiSC,,,12,2014-01-24 14:33:33,2014-01-24 14:36:38
351,29,4,1,1,PO Final,8,,,,1,,,,,1,,,,3,,,,,2014-01-25,18:00:00,MiSC,,,13,2014-05-25 11:05:33,2014-05-25 11:05:33
361,30,4,1,1,1st,1,,,,6,,,,,10,,,,3,,,,,2014-02-02,11:30:00,MiSC,,,1,2014-05-25 11:11:05,2014-05-25 11:11:05
371,30,4,1,1,2nd,15,,,,4,,,,,1,,,,5,,,,,2014-02-15,11:30:00,MiSC,,,2,2014-05-25 11:14:15,2014-05-25 11:14:15
381,30,4,1,1,5th,1,,,,8,,,,,1,,,,3,,,,,2014-03-30,11:30:00,MiSC,,,5,2014-05-25 11:17:36,2014-05-25 11:17:36
391,30,4,1,1,6th,4,,,,2,,,,,1,,,,4,,,,,2014-04-20,20:00:00,MiSC,,,6,2014-05-25 11:20:38,2014-05-25 11:20:38
401,30,4,1,1,8th,1,,,,10,,,,,17,,,,5,,,,,2014-05-25,11:00:00,MiSC,,,8,2014-05-25 11:22:50,2014-05-25 11:22:50
411,30,4,1,1,3rd,1,,,,12,,,,,1,,,,2,,,,,2014-09-15,11:30:00,MiSC,,9月も中旬。今年もとんでもなく猛暑だった夏を越え、おじさんファルコンズにはやさしい季節がやってきた。優勝奪還に向けて、ここからエンジンをかけていきたいところ。相手の守護神がプレーヤーゴーリーがだったこともあり、ファルコンズは大量得点を上げたが、ファルコンズメンバー内では、スキル・調子の差が大きく現れた。特に、パワープレーでワンタイムを3回も空振った晋吾選手は絶不調。一方で、靴を新調したハチミツおじさんこと田島選手は、ハットトリックで好調をキープ。MVPは、5ゴール2アシストの努選手でした。,3,2014-09-15 03:50:42,2014-09-15 04:02:46
